play_area_id;address;district_name;district_code;neighbourhood_name;neighbourhood_code;X_ETRS89;Y_ETRS89;longitude;latitude
43533;Jard Gandhi, 0;Sant Martí;10;el Poblenou;68;433748824;4583889363;22073936;414038182
43489;Pl Germans Serra, 1;Sant Martí;10;el Besòs i el Maresme;70;434211575;4585338574;22127718;414169088
43385;Pl Victòria Kent, 1;Sant Martí;10;Sant Martí de Provençals;72;432736871;4584991625;21951656;414136619
56164;Pl Lesseps, 40922;Gracia;6;Vallcarca i els Penitents;28;428917552;4584350081;21495458;414075550
741430;Pl Lesseps, 40922;Gracia;6;la Vila de Gràcia;31;429022645;4584313912;21508072;414072386
790524;Rbla Prim, 195;Sant Martí;10;la Verneda i la Pau;73;433337336;4586152693;22022218;414241693
790525;Rbla Prim, 195;Sant Martí;10;la Verneda i la Pau;73;433317421;4586183615;22019801;414244462
43114;C\ Llull, 404;Sant Martí;10;el Besòs i el Maresme;70;434587727;4584809316;22173297;414121727
43051;Jard Joana Tomàs, 0;Sant Martí;10;el Clot;65;432158045;4584826663;21882589;414121275
43064;Rbla Prim, 124;Sant Martí;10;el Besòs i el Maresme;70;434039902;4585436660;22107070;414177782
43063;Rbla Prim, 124;Sant Martí;10;el Besòs i el Maresme;70;434069362;4585405289;22110629;414174981
661482;Ctra B-10 (Llobregat), 74;Sant Martí;10;el Poblenou;68;433700689;4583173424;22068962;413973659
43080;Ctra B-10 (Llobregat), 74;Sant Martí;10;el Poblenou;68;433668007;4583122433;22065109;413969040
42888;Pl Porxos, 9999;Sant Martí;10;Sant Martí de Provençals;72;433043455;4585095859;21988221;414146263
42832;C\ Felip de Malla, 17;Sant Martí;10;el Besòs i el Maresme;70;434560688;4585327654;22169501;414168390
696080;Jard Josep Trueta, 0;Sant Martí;10;el Poblenou;68;433547635;4583907982;22049849;414039693
661222;Pl Sagrada Família, 9999;Eixample;2;la Sagrada Família;6;430873132;4583835580;21729994;414030916
661224;Pl Sagrada Família, 9999;Eixample;2;la Sagrada Família;6;430893102;4583833235;21732385;414030722
42687;Rbla Prim, 210;Sant Martí;10;la Verneda i la Pau;73;433513475;4585973419;22043493;414225693
42690;Rbla Prim, 210;Sant Martí;10;la Verneda i la Pau;73;433407696;4586081856;22030716;414235372
42688;Rbla Prim, 210;Sant Martí;10;la Verneda i la Pau;73;433496577;4586004574;22041436;414228485
42689;Rbla Prim, 210;Sant Martí;10;la Verneda i la Pau;73;433439820;4586062550;22034581;414233659
42470;C\ Llacuna, 176;Sant Martí;10;el Clot;65;432291105;4584295988;21899102;414073591
661323;C\ Llacuna, 176;Sant Martí;10;el Clot;65;432388939;4584481081;21910599;414090344
42469;C\ Llacuna, 176;Sant Martí;10;el Clot;65;432320930;4584283840;21902683;414072522
661324;C\ Llacuna, 176;Sant Martí;10;el Clot;65;432289099;4584334347;21898819;414077044
42472;C\ Llacuna, 176;Sant Martí;10;el Clot;65;432374653;4584494066;21908875;414091501
660193;Pl Mig de Can Clos, 6;Sants-Montjuïc;3;la Marina de Port;13;428633265;4579164631;21467556;413608264
42400;C\ Paraguai, 44;Sant Martí;10;Provençals del Poblenou;71;433899788;4585447915;22090293;414178681
43122;Pl Diagonal Mar, 5;Sant Martí;10;el Besòs i el Maresme;70;434306965;4584696739;22139828;414111358
44573;Pl Modernitat, 3;Sant Andreu;9;Sant Andreu;60;432544074;4588639543;21924519;414465013
69462;Pl Farga, 6;Sants-Montjuïc;3;la Bordeta;16;428002532;4580474715;21390600;413725697
69463;Pl Farga, 6;Sants-Montjuïc;3;la Bordeta;16;428005112;4580463243;21390922;413724666
