year;district_code;district_name;neighborhood_code;neighborhood_code2;Sex;academic_level;number
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;University studies;6105
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;University studies;11726
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;University studies;7362
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;University studies;3293
2022;6;Gràcia;29;el Coll;Women;University studies;1275
2022;6;Gràcia;30;la Salut;Women;University studies;2881
2022;6;Gràcia;31;la Vila de Gràcia;Women;University studies;12355
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;University studies;7620
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;University studies;4552
2022;7;Horta-Guinardó;34;Can Baró;Women;University studies;1460
2022;7;Horta-Guinardó;35;el Guinardó;Women;University studies;6103
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;University studies;1571
2022;7;Horta-Guinardó;37;el Carmel;Women;University studies;2600
2022;7;Horta-Guinardó;38;la Teixonera;Women;University studies;1221
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;University studies;797
2022;7;Horta-Guinardó;40;Montbau;Women;University studies;767
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;University studies;944
2022;7;Horta-Guinardó;42;la Clota;Women;University studies;94
2022;7;Horta-Guinardó;43;Horta;Women;University studies;3627
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;University studies;3327
2022;8;Nou Barris;45;Porta;Women;University studies;2635
2022;8;Nou Barris;46;el Turó de la Peira;Women;University studies;1362
2022;8;Nou Barris;47;Can Peguera;Women;University studies;121
2022;8;Nou Barris;48;la Guineueta;Women;University studies;1549
2022;8;Nou Barris;49;Canyelles;Women;University studies;525
2022;8;Nou Barris;50;les Roquetes;Women;University studies;856
2022;8;Nou Barris;51;Verdun;Women;University studies;873
2022;8;Nou Barris;52;la Prosperitat;Women;University studies;1912
2022;8;Nou Barris;53;la Trinitat Nova;Women;University studies;360
2022;8;Nou Barris;54;Torre Baró;Women;University studies;126
2022;8;Nou Barris;55;Ciutat Meridiana;Women;University studies;405
2022;8;Nou Barris;56;Vallbona;Women;University studies;72
2022;9;Sant Andreu;57;la Trinitat Vella;Women;University studies;549
2022;9;Sant Andreu;58;Baró de Viver;Women;University studies;99
2022;9;Sant Andreu;59;el Bon Pastor;Women;University studies;968
2022;9;Sant Andreu;60;Sant Andreu;Women;University studies;7958
2022;9;Sant Andreu;61;la Sagrera;Women;University studies;4002
2022;9;Sant Andreu;62;el Congrés i els Indians;Women;University studies;2111
2022;9;Sant Andreu;63;Navas;Women;University studies;3173
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Women;University studies;6528
2022;10;Sant Martí;65;el Clot;Women;University studies;4051
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Women;University studies;2870
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Women;University studies;2325
2022;10;Sant Martí;68;el Poblenou;Women;University studies;6038
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Women;University studies;2535
2022;10;Sant Martí;70;el Besòs i el Maresme;Women;University studies;1691
2022;10;Sant Martí;71;Provençals del Poblenou;Women;University studies;2885
2022;10;Sant Martí;72;Sant Martí de Provençals;Women;University studies;2920
2022;10;Sant Martí;73;la Verneda i la Pau;Women;University studies;2393
2022;1;Ciutat Vella;1;el Raval;Women;No record;238
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;No record;72
2022;1;Ciutat Vella;3;la Barceloneta;Women;No record;53
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;No record;90
2022;2;Eixample;5;el Fort Pienc;Women;No record;140
2022;2;Eixample;6;la Sagrada Família;Women;No record;218
2022;2;Eixample;7;la Dreta de l'Eixample;Women;No record;236
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;No record;191
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;No record;229
2022;2;Eixample;10;Sant Antoni;Women;No record;134
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;No record;226
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;No record;12
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;No record;275
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;No record;55
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;No record;97
2022;3;Sants-Montjuïc;16;la Bordeta;Women;No record;119
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;No record;112
2022;3;Sants-Montjuïc;18;Sants;Women;No record;172
2022;4;Les Corts;19;les Corts;Women;No record;226
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;No record;113
2022;4;Les Corts;21;Pedralbes;Women;No record;115
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;No record;46
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;No record;211
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;No record;129
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;No record;215
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;No record;361
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;No record;184
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;No record;88
2022;6;Gràcia;29;el Coll;Women;No record;38
2022;6;Gràcia;30;la Salut;Women;No record;59
2022;6;Gràcia;31;la Vila de Gràcia;Women;No record;239
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;No record;168
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;No record;129
2022;7;Horta-Guinardó;34;Can Baró;Women;No record;40
2022;7;Horta-Guinardó;35;el Guinardó;Women;No record;179
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;No record;66
2022;7;Horta-Guinardó;37;el Carmel;Women;No record;200
2022;7;Horta-Guinardó;38;la Teixonera;Women;No record;80
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;No record;35
2022;7;Horta-Guinardó;40;Montbau;Women;No record;33
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;No record;29
2022;7;Horta-Guinardó;42;la Clota;Women;No record;1
2022;7;Horta-Guinardó;43;Horta;Women;No record;160
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Women;No record;151
2022;8;Nou Barris;45;Porta;Women;No record;126
2022;8;Nou Barris;46;el Turó de la Peira;Women;No record;103
2022;8;Nou Barris;47;Can Peguera;Women;No record;19
