"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Persones","Nombre"
2022,8,"Nou Barris",48,"la Guineueta","3 persones","28"
2022,8,"Nou Barris",49,"Canyelles","3 persones","13"
2022,8,"Nou Barris",50,"les Roquetes","3 persones","15"
2022,8,"Nou Barris",51,"Verdun","3 persones","11"
2022,8,"Nou Barris",52,"la Prosperitat","3 persones","24"
2022,8,"Nou Barris",53,"la Trinitat Nova","3 persones","8"
2022,8,"Nou Barris",54,"Torre Baró","3 persones","3"
2022,8,"Nou Barris",55,"Ciutat Meridiana","3 persones","6"
2022,8,"Nou Barris",56,"Vallbona","3 persones","0"
2022,9,"Sant Andreu",57,"la Trinitat Vella","3 persones","12"
2022,9,"Sant Andreu",58,"Baró de Viver","3 persones","1"
2022,9,"Sant Andreu",59,"el Bon Pastor","3 persones","7"
2022,9,"Sant Andreu",60,"Sant Andreu","3 persones","87"
2022,9,"Sant Andreu",61,"la Sagrera","3 persones","54"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","3 persones","20"
2022,9,"Sant Andreu",63,"Navas","3 persones","36"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","3 persones","53"
2022,10,"Sant Martí",65,"el Clot","3 persones","43"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","3 persones","15"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","3 persones","5"
2022,10,"Sant Martí",68,"el Poblenou","3 persones","35"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","3 persones","13"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","3 persones","26"
2022,10,"Sant Martí",71,"Provençals del Poblenou","3 persones","15"
2022,10,"Sant Martí",72,"Sant Martí de Provençals","3 persones","45"
2022,10,"Sant Martí",73,"la Verneda i la Pau","3 persones","37"
2022,1,"Ciutat Vella",1,"el Raval","4 o més persones","16"
2022,1,"Ciutat Vella",2,"el Barri Gòtic","4 o més persones","10"
2022,1,"Ciutat Vella",3,"la Barceloneta","4 o més persones","6"
2022,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","4 o més persones","6"
2022,2,"Eixample",5,"el Fort Pienc","4 o més persones","6"
2022,2,"Eixample",6,"la Sagrada Família","4 o més persones","13"
2022,2,"Eixample",7,"la Dreta de l'Eixample","4 o més persones","49"
2022,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","4 o més persones","15"
2022,2,"Eixample",9,"la Nova Esquerra de l'Eixample","4 o més persones","13"
2022,2,"Eixample",10,"Sant Antoni","4 o més persones","5"
2022,3,"Sants-Montjuïc",11,"el Poble Sec","4 o més persones","6"
2022,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","4 o més persones","0"
2022,3,"Sants-Montjuïc",13,"la Marina de Port","4 o més persones","4"
2022,3,"Sants-Montjuïc",14,"la Font de la Guatlla","4 o més persones","3"
2022,3,"Sants-Montjuïc",15,"Hostafrancs","4 o més persones","4"
2022,3,"Sants-Montjuïc",16,"la Bordeta","4 o més persones","3"
2022,3,"Sants-Montjuïc",17,"Sants - Badal","4 o més persones","2"
2022,3,"Sants-Montjuïc",18,"Sants","4 o més persones","11"
2022,4,"Les Corts",19,"les Corts","4 o més persones","13"
2022,4,"Les Corts",20,"la Maternitat i Sant Ramon","4 o més persones","3"
2022,4,"Les Corts",21,"Pedralbes","4 o més persones","8"
2022,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","4 o més persones","6"
2022,5,"Sarrià-Sant Gervasi",23,"Sarrià","4 o més persones","31"
2022,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","4 o més persones","14"
2022,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","4 o més persones","28"
2022,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","4 o més persones","16"
2022,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","4 o més persones","9"
2022,6,"Gràcia",28,"Vallcarca i els Penitents","4 o més persones","10"
2022,6,"Gràcia",29,"el Coll","4 o més persones","0"
2022,6,"Gràcia",30,"la Salut","4 o més persones","7"
2022,6,"Gràcia",31,"la Vila de Gràcia","4 o més persones","21"
2022,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","4 o més persones","6"
2022,7,"Horta-Guinardó",33,"el Baix Guinardó","4 o més persones","7"
2022,7,"Horta-Guinardó",34,"Can Baró","4 o més persones","1"
2022,7,"Horta-Guinardó",35,"el Guinardó","4 o més persones","18"
2022,7,"Horta-Guinardó",36,"la Font d'en Fargues","4 o més persones","6"
2022,7,"Horta-Guinardó",37,"el Carmel","4 o més persones","1"
2022,7,"Horta-Guinardó",38,"la Teixonera","4 o més persones","2"
2022,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","4 o més persones","5"
2022,7,"Horta-Guinardó",40,"Montbau","4 o més persones","7"
2022,7,"Horta-Guinardó",41,"la Vall d'Hebron","4 o més persones","5"
2022,7,"Horta-Guinardó",42,"la Clota","4 o més persones","0"
2022,7,"Horta-Guinardó",43,"Horta","4 o més persones","26"
2022,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","4 o més persones","9"
2022,8,"Nou Barris",45,"Porta","4 o més persones","3"
2022,8,"Nou Barris",46,"el Turó de la Peira","4 o més persones","2"
2022,8,"Nou Barris",47,"Can Peguera","4 o més persones","2"
2022,8,"Nou Barris",48,"la Guineueta","4 o més persones","1"
2022,8,"Nou Barris",49,"Canyelles","4 o més persones","0"
2022,8,"Nou Barris",50,"les Roquetes","4 o més persones","0"
2022,8,"Nou Barris",51,"Verdun","4 o més persones","1"
2022,8,"Nou Barris",52,"la Prosperitat","4 o més persones","7"
2022,8,"Nou Barris",53,"la Trinitat Nova","4 o més persones","1"
2022,8,"Nou Barris",54,"Torre Baró","4 o més persones","0"
2022,8,"Nou Barris",55,"Ciutat Meridiana","4 o més persones","0"
2022,8,"Nou Barris",56,"Vallbona","4 o més persones","1"
2022,9,"Sant Andreu",57,"la Trinitat Vella","4 o més persones","0"
2022,9,"Sant Andreu",58,"Baró de Viver","4 o més persones","0"
2022,9,"Sant Andreu",59,"el Bon Pastor","4 o més persones","2"
2022,9,"Sant Andreu",60,"Sant Andreu","4 o més persones","9"
2022,9,"Sant Andreu",61,"la Sagrera","4 o més persones","3"
2022,9,"Sant Andreu",62,"el Congrés i els Indians","4 o més persones","1"
2022,9,"Sant Andreu",63,"Navas","4 o més persones","4"
2022,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","4 o més persones","9"
2022,10,"Sant Martí",65,"el Clot","4 o més persones","2"
2022,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","4 o més persones","3"
2022,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","4 o més persones","0"
2022,10,"Sant Martí",68,"el Poblenou","4 o més persones","9"
2022,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","4 o més persones","2"
2022,10,"Sant Martí",70,"el Besòs i el Maresme","4 o més persones","5"
2022,10,"Sant Martí",71,"Provençals del Poblenou","4 o més persones","1"
