year;district_code;district_name;neighbourhood_code;neighbourhood_name;number
2022;1;Ciutat Vella;2;el Barri Gòtic;680
2022;1;Ciutat Vella;3;la Barceloneta;659
2022;6;Gràcia;29;el Coll;658
2022;8;Nou Barris;48;la Guineueta;650
2022;6;Gràcia;28;Vallcarca i els Penitents;644
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;639
2022;10;Sant Martí;71;Provençals del Poblenou;636
2022;7;Horta-Guinardó;40;Montbau;631
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;630
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;619
2022;9;Sant Andreu;62;el Congrés i els Indians;618
2022;9;Sant Andreu;57;la Trinitat Vella;615
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;602
2022;7;Horta-Guinardó;40;Montbau;599
2022;7;Horta-Guinardó;38;la Teixonera;588
2022;8;Nou Barris;50;les Roquetes;578
2022;8;Nou Barris;51;Verdun;576
2022;9;Sant Andreu;59;el Bon Pastor;576
2022;8;Nou Barris;53;la Trinitat Nova;575
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;574
2022;3;Sants-Montjuïc;16;la Bordeta;568
2022;8;Nou Barris;46;el Turó de la Peira;566
2022;7;Horta-Guinardó;41;la Vall d'Hebron;555
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;544
2022;8;Nou Barris;55;Ciutat Meridiana;517
2022;7;Horta-Guinardó;40;Montbau;512
2022;6;Gràcia;30;la Salut;501
2022;3;Sants-Montjuïc;15;Hostafrancs;497
2022;9;Sant Andreu;57;la Trinitat Vella;489
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;468
2022;8;Nou Barris;55;Ciutat Meridiana;467
2022;9;Sant Andreu;57;la Trinitat Vella;457
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;439
2022;1;Ciutat Vella;3;la Barceloneta;436
2022;6;Gràcia;28;Vallcarca i els Penitents;434
2022;9;Sant Andreu;62;el Congrés i els Indians;433
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;432
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;429
