layer_code;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district_code;neighbourhood_code;district_name;neighbourhood_name
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;424.255.511;4.575.086.301;424.163.634;4.574.885.435;2.093.858;41.321.877;Cèntric (C. Lleida)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.287.344;4.582.796.464;430.195.414;4.582.595.525;2.165.035;41.391.864;Passeig de Gràcia (Aragó / Rambla Catalunya)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430327.48;4.582.761.992;430.235.549;4.582.561.053;2.165.519;41.391.557;Passeig de Gràcia (Consell de Cent)-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.575.583;4.584.965.538;434.483.614;4.584.764.577;2.216.089;41.411.761;El Maresme | Fòrum (Avinguda Diagonal)-;10;70;Sant Martí;el Besòs i el Maresme
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;431.145.143;4.586.955.831;431.053.206;4.586.754.853;2.174.821;414.294;Virrei Amat (Virrei Amat (mar))-;8;44;Nou Barris;Vilapicina i la Torre Llobeta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.990.157;4.587.001.013;429.898.231;4.586.800.035;2.160.994;41.429.707;Horta (Tajo)-;7;43;Horta-Guinardó;Horta
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;434.100.224;4.586.991.676;434008.26;4.586.790.697;2.210.181;41.429.971;Verneda (Ctra. Mataró)-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.355.203;4.580.372.328;427.263.299;4.580.171.412;2.130.258;41.369.771;Santa Eulàlia (Riera Blanca)-;;;;
K008;Transports i serveis relacionats;Estació marítima;431.101.864;4.578.456.025;431.009.925;4.578.255.126;2.175.271;41.352.842;Terminal Marítima E *Creuers-;3;12;Sants-Montjuïc;la Marina del Prat Vermell
K011;Transports i serveis relacionats;Tramvia;425.838.683;4.581.151.128;425.746.793;4.580.950.205;2.112.031;41.376.647;TRAMVIA (T1,T2,T3) - SANT RAMON-;4;20;Les Corts;la Maternitat i Sant Ramon
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.117.379;4.580.257.769;430025.45;4.580.056.853;2.163.296;41.368.985;METRO (FM) - Parc de Montjuïc-;3;11;Sants-Montjuïc;el Poble-sec
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;429.400.306;4.581.405.655;429.308.384;4.581.204.729;2.154.588;4.137.926;METRO (L1) - Rocafort-;2;9;Eixample;la Nova Esquerra de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.522.158;4.579.637.196;427.430.252;4.579.436.287;2.132.342;41.363.166;METRO (L10S) - Ciutat de la Justícia-;;;;
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;430.522.632;4.582.596.681;430430.7;4.582.395.743;2.167.872;41.390.085;METRO (L4) - Passeig de Gràcia-;2;7;Eixample;la Dreta de l'Eixample
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;427.424.715;4.581.967.902;427.332.811;4.581.766.971;2.130.897;41.384.148;METRO (L3) - Les Corts-;4;19;Les Corts;les Corts
K001;Transports i serveis relacionats;Metro i línies urbanes FGC;432.486.023;4.588.481.263;432.394.074;4588280.27;2.190.697;41.443.253;METRO (L1) - Torras i Bages-;9;60;Sant Andreu;Sant Andreu
