district_code,district_name_x,neighbourhood_code,neighbourhood_name_x,accidents,label_accidents,average_occupation_per_household,label_avg_occ,above_65t,label_above_65,elementary_highschool_bachelorsdegree,no_studies,primarystudies_schoolcertificate,university_studies,secondary_school,label_academic_level,between_18_64,label_between_18_65,bus_stops,label_bus_stops,children_play_areas,label_children_play_areas,cinema_theater_concerts,label_cinema_theatre_concerts,culture_leisure_spaces,label_cultural_leisure_spaces,library_studyroom_museum_spaces,label_library_studyroom,sport_facilities,label_sport_facilities,tourists_points,label_tourists_points,transportation,label_transportation,street_markets_and_fairs,label_street_markets_and_fairs,temporaray_exhibitions,rent_price,label_rent_price,hotels,label_hotels,spaces_for_exercising,label_spaces_for_excercise,parks_gardens,label_parks_gardens,number_of_museums_and_exhibitions,label_exhebitons_museums,music_drinks,label_music_drinks
6,Gràcia,29,el Coll,730.0,1.0,24.0,2.0,3184.0,1.0,1466.0,102.0,896.0,2235.0,1821.0,0.0,3184.0,0.0,24.0,0.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,19.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,759.2,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7,Horta-Guinardó,34,Can Baró,804.0,1.0,24.0,2.0,3929.0,1.0,1903.0,167.0,1266.0,2506.0,2136.0,0.0,3929.0,0.0,19.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,812.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Horta-Guinardó,40,Montbau,790.0,1.0,24.0,2.0,2084.0,0.0,1041.0,171.0,648.0,1282.0,1219.0,0.0,2084.0,0.0,26.0,0.0,7.0,1.0,0.0,0.0,17.0,0.0,7.0,1.0,36.0,0.0,21.0,0.0,6.0,0.0,0.0,0.0,0.0,750.7,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
5,Sarrià-Sant Gervasi,23,Sarrià,1188.0,4.0,28.0,5.0,8808.0,3.0,2535.0,125.0,1281.0,10698.0,5154.0,0.0,8808.0,1.0,79.0,2.0,24.0,4.0,1.0,0.0,49.0,1.0,8.0,1.0,148.0,2.0,88.0,1.0,5.0,0.0,4.0,2.0,0.0,1349.3,4.0,5.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,5.0,0.0
10,Sant Martí,64,el Camp de l'Arpa del Clot,1164.0,4.0,23.0,1.0,16391.0,4.0,7522.0,479.0,4653.0,11654.0,9296.0,1.0,16391.0,2.0,20.0,0.0,13.0,2.0,4.0,0.0,20.0,0.0,3.0,0.0,32.0,0.0,3.0,0.0,8.0,0.0,1.0,0.0,0.0,875.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,Sant Martí,70,el Besòs i el Maresme,1112.0,4.0,31.0,6.0,8508.0,2.0,7289.0,660.0,6429.0,3020.0,4648.0,0.0,8508.0,1.0,43.0,1.0,36.0,6.0,1.0,0.0,41.0,1.0,6.0,0.0,37.0,0.0,19.0,0.0,12.0,1.0,1.0,0.0,2.0,779.2,1.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0
6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1106.0,4.0,24.0,2.0,14882.0,4.0,5429.0,320.0,3016.0,13611.0,8256.0,1.0,14882.0,2.0,32.0,0.0,5.0,0.0,1.0,0.0,16.0,0.0,1.0,0.0,113.0,2.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,977.8,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0
4,Les Corts,20,la Maternitat i Sant Ramon,1176.0,4.0,25.0,3.0,9658.0,3.0,3651.0,313.0,2408.0,8485.0,5564.0,0.0,9658.0,1.0,64.0,2.0,8.0,1.0,4.0,0.0,71.0,1.0,25.0,2.0,262.0,3.0,68.0,1.0,17.0,1.0,0.0,0.0,4.0,993.1,3.0,7.0,0.0,1.0,0.0,16.0,1.0,5.0,0.0,7.0,0.0
10,Sant Martí,65,el Clot,1137.0,4.0,25.0,3.0,10767.0,3.0,5540.0,319.0,3431.0,7250.0,6394.0,0.0,10767.0,1.0,30.0,0.0,20.0,4.0,3.0,0.0,23.0,0.0,0.0,0.0,73.0,1.0,12.0,0.0,9.0,0.0,1.0,0.0,0.0,884.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
7,Horta-Guinardó,35,el Guinardó,1124.0,4.0,24.0,2.0,15501.0,4.0,7178.0,457.0,4201.0,10777.0,9361.0,1.0,15501.0,2.0,68.0,2.0,12.0,2.0,0.0,0.0,24.0,0.0,5.0,0.0,45.0,1.0,24.0,0.0,6.0,0.0,0.0,0.0,0.0,810.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0
