layer_code ;generic_layer;layer_name;ED50_X_coordinate;ED50_Y_coordinate;ETRS89_X_coordinate;ETRS89_Y_coordinate;longitude;latitude;equipment;district;neighborhood;district_name;neighborhood_name
K014;Transports i serveis relacionats;Autobusos diürns;427839926;4582318316;427748018;4582117382;2135821;41387342;BUS -59-H8--;4;19;Les Corts;les Corts
K015;Transports i serveis relacionats;Autobusos nocturns;428004149;4584016432;42791224;4583815482;2137583;41402651;NITBUS -N0--;5;25;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova
K014;Transports i serveis relacionats;Autobusos diürns;427385059;4584269437;427293156;4584068485;2130147;41404874;BUS -123-H4--;5;25;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova
K015;Transports i serveis relacionats;Autobusos nocturns;427415557;4584276348;427323654;4584075396;2130511;41404939;NITBUS -N8--;5;25;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova
K014;Transports i serveis relacionats;Autobusos diürns;427701782;4584518858;427609876;4584317903;2133906;41407149;BUS -123-H4-V13--;5;25;Sarrià-Sant Gervasi;Sant Gervasi - la Bonanova
K014;Transports i serveis relacionats;Autobusos diürns;429491414;4582634134;429399491;4582433196;2155535;41390333;BUS -63--;2;8;Eixample;l'Antiga Esquerra de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;42833523;4580336302;428243317;4580135386;2141979;41369535;BUS -46-65-79-109-165-L70-L72-L80-L86-L94-L95-H12-H16-E95-E86-E70-902-E80--;3;14;Sants-Montjuïc;la Font de la Guatlla
K015;Transports i serveis relacionats;Autobusos nocturns;42833523;4580336302;428243317;4580135386;2141979;41369535;NITBUS -N1-N13-N15-N16-N17-N18--;3;14;Sants-Montjuïc;la Font de la Guatlla
K014;Transports i serveis relacionats;Autobusos diürns;428757226;4580322924;428665309;4580122008;2147026;41369452;BUS -13-23-150--;3;11;Sants-Montjuïc;el Poble-sec
K015;Transports i serveis relacionats;Autobusos nocturns;43255822;4586311705;43246627;4586110732;2191803;41423719;NITBUS -N9--;9;61;Sant Andreu;la Sagrera
K015;Transports i serveis relacionats;Autobusos nocturns;433822243;4585741557;433730281;4585540589;2206991;41418689;NITBUS -N2--;10;73;Sant Martí;la Verneda i la Pau
K014;Transports i serveis relacionats;Autobusos diürns;430617685;4586384135;430525753;4586183162;2168574;41424206;BUS -117-V23--;7;36;Horta-Guinardó;la Font d'en Fargues
K014;Transports i serveis relacionats;Autobusos diürns;431808123;4588067668;43171618;4587866679;2182629;4143947;BUS -H4-M19--;8;52;Nou Barris;la Prosperitat
K014;Transports i serveis relacionats;Autobusos diürns;430061367;4586193971;42996944;4585993;2161939;41422445;BUS -V23--;7;36;Horta-Guinardó;la Font d'en Fargues
K014;Transports i serveis relacionats;Autobusos diürns;42847622;4586518692;428384308;4586317719;2142934;41425229;BUS -27-60-76-112-119-H4-M19-135--;7;41;Horta-Guinardó;la Vall d'Hebron
K014;Transports i serveis relacionats;Autobusos diürns;429232512;4583665011;429140592;4583464064;2152318;41399595;BUS -27-87-V15-D40--;6;31;Gràcia;la Vila de Gràcia
K014;Transports i serveis relacionats;Autobusos diürns;430163543;4583575583;430071614;4583374636;2163465;41398871;BUS -47--;2;7;Eixample;la Dreta de l'Eixample
K014;Transports i serveis relacionats;Autobusos diürns;427984196;4580386858;427892286;4580185942;2137776;41369959;BUS -91--;3;16;Sants-Montjuïc;la Bordeta
K014;Transports i serveis relacionats;Autobusos diürns;431398218;4584313218;431306278;4584112264;2178149;41405621;BUS -33-34-B24-H10-D50--;2;6;Eixample;la Sagrada Família
K014;Transports i serveis relacionats;Autobusos diürns;433026607;4585064391;432934652;458486343;2197546;41412524;BUS -V27--;10;72;Sant Martí;Sant Martí de Provençals
K015;Transports i serveis relacionats;Autobusos nocturns;433026607;4585064391;432934652;458486343;2197546;41412524;NITBUS -N8--;10;72;Sant Martí;Sant Martí de Provençals
K014;Transports i serveis relacionats;Autobusos diürns;432721178;4588807335;432629227;4588606339;2193475;41446209;BUS -11-60-133-M19--;9;60;Sant Andreu;Sant Andreu
K014;Transports i serveis relacionats;Autobusos diürns;429627048;4585446736;429535125;4585245772;215683;41415677;BUS -24-V19--;6;30;Gràcia;la Salut
K015;Transports i serveis relacionats;Autobusos nocturns;43074884;4583680877;430656906;4583479929;2170454;4139987;NITBUS -N9--;2;7;Eixample;la Dreta de l'Eixample
