year;trimester;district_name;neighbourhood_name;average _rent;price
2021;1;Sarria-Sant Gervasi;Vallvidrera, el Tibidabo i les Planes;average rent (euro/month);1531.7
2021;1;Sarria-Sant Gervasi;Sarria;average rent (euro/month);1263.9
2021;1;Sarria-Sant Gervasi;les Tres Torres;average rent (euro/month);1578
2021;1;Sarria-Sant Gervasi;Sant Gervasi - la Bonanova;average rent (euro/month);1264.8
2021;1;Sarria-Sant Gervasi;Sant Gervasi - Galvany;average rent (euro/month);1294.9
2021;1;Sarria-Sant Gervasi;el Putxet i el Farro;average rent (euro/month);990.1
2021;1;Gracia;Vallcarca i els Penitents;average rent (euro/month);959
2021;1;Gracia;el Coll;average rent (euro/month);745.4
2021;1;Gracia;la Salut;average rent (euro/month);859.1
2021;1;Gracia;la Vila de Gracia;average rent (euro/month);910.6
2021;1;Gracia;el Camp d'en Grassot i Gracia Nova;average rent (euro/month);865.3
2021;1;Horta-Guinardo;el Baix Guinardo;average rent (euro/month);817.3
2021;1;Horta-Guinardo;Can Baro;average rent (euro/month);741.1
2021;1;Horta-Guinardo;el Guinardo;average rent (euro/month);791.7
2021;1;Horta-Guinardo;la Font d'en Fargues;average rent (euro/month);795
2021;1;Horta-Guinardo;el Carmel;average rent (euro/month);668.8
2021;1;Horta-Guinardo;la Teixonera;average rent (euro/month);716.1
2021;1;Horta-Guinardo;Sant Genis dels Agudells;average rent (euro/month);700.5
2021;1;Horta-Guinardo;Montbau;average rent (euro/month);741.4
2021;1;Horta-Guinardo;la Vall d'Hebron;average rent (euro/month);827
2021;1;Horta-Guinardo;Horta;average rent (euro/month);747.4
2021;1;Nou Barris;Vilapicina i la Torre Llobeta;average rent (euro/month);736.5
2021;1;Nou Barris;Porta;average rent (euro/month);707.2
2021;1;Nou Barris;el Turo de la Peira;average rent (euro/month);687.2
2021;1;Nou Barris;la Guineueta;average rent (euro/month);691.6
2021;1;Nou Barris;Canyelles;average rent (euro/month);762.5
2021;1;Nou Barris;les Roquetes;average rent (euro/month);643.6
2021;1;Nou Barris;Verdun;average rent (euro/month);631.6
2021;1;Nou Barris;la Prosperitat;average rent (euro/month);671.8
2021;1;Nou Barris;la Trinitat Nova;average rent (euro/month);605
2021;1;Nou Barris;Ciutat Meridiana;average rent (euro/month);520.2
2021;1;Sant Andreu;la Trinitat Vella;average rent (euro/month);625.1
2021;1;Sant Andreu;el Bon Pastor;average rent (euro/month);658.9
2021;1;Sant Andreu;Sant Andreu;average rent (euro/month);762.5
2021;1;Sant Andreu;la Sagrera;average rent (euro/month);759.3
2021;1;Sant Andreu;el Congres i els Indians;average rent (euro/month);756.9
2021;1;Sant Andreu;Navas;average rent (euro/month);824.2
2021;1;Sant Marti;el Camp de l'Arpa del Clot;average rent (euro/month);814.5
2021;1;Sant Marti;el Clot;average rent (euro/month);853.6
2021;1;Sant Marti;el Parc i la Llacuna del Poblenou;average rent (euro/month);927.5
2021;1;Sant Marti;la Vila Olimpica del Poblenou;average rent (euro/month);1298.9
2021;1;Sant Marti;el Poblenou;average rent (euro/month);928.5
2021;1;Sant Marti;Diagonal Mar i el Front Maritim del Poblenou;average rent (euro/month);978.4
2021;1;Sant Marti;el Besos i el Maresme;average rent (euro/month);704.2
2021;1;Sant Marti;Provencals del Poblenou;average rent (euro/month);976.7
2021;1;Sant Marti;Sant Mart√≠ide Provencals;average rent (euro/month);794.6
2021;1;Sant Marti;la Verneda i la Pau;average rent (euro/month);740.8
2021;1;Ciutat Vella;el Raval;average rent per surface (euro/m2);12. Aug
2021;1;Ciutat Vella;Gothic Quarter;average rent per surface (euro/m2);12. Mär
