register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400168903;Cocteleria Nosé;04.10.06 17:41;28.05.21 14:37;Pg Born;21;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31674E+15;4,58182E+15;4,1385E+14;2,1828E+15
﻿99400168903;Cocteleria Nosé;04.10.06 17:41;28.05.21 14:37;Pg Born;21;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31674E+15;4,58182E+15;4,1385E+14;2,1828E+15
﻿75990348434;Bar Café del Born Nou;18.09.96 00:00;17.09.22 03:26;Pl Comercial;10;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31745E+14;4,58184E+13;4,13851E+15;2,18365E+15
﻿99400472118;Bar Musical Craft Barcelona;14.12.16 14:19;17.09.22 08:48;C Paradís;4;2;el Barri Gòtic;1;Ciutat Vella;8002;BARCELONA;4,31185E+16;4,58162E+16;4,13832E+15;2,17698E+16
﻿99400604213;Discoteca Pub Dixit 724;23.07.18 11:06;17.09.22 10:51;C Pallars;115;66;el Parc i la Llacuna del Poblenou;10;Sant Martí;8018;BARCELONA;4,32454E+16;4,58315E+15;4,1397E+15;2,19199E+15
﻿99400604213;Discoteca Pub Dixit 724;23.07.18 11:06;17.09.22 10:51;C Pallars;115;66;el Parc i la Llacuna del Poblenou;10;Sant Martí;8018;BARCELONA;4,32454E+16;4,58315E+15;4,1397E+15;2,19199E+15
﻿75990331992;Bar musical Juan Sebastián Bar;18.09.96 00:00;17.09.22 03:23;C Comte Borrell;296;9;la Nova Esquerra de l'Eixample;2;Eixample;8029;BARCELONA;4,28648E+15;4,58237E+15;4,13897E+16;2,14655E+16
﻿99400621820;Espai Abaixadors10;07.03.19 14:07;28.05.21 14:38;C Abaixadors;10;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31538E+16;4,58161E+15;4,13831E+15;2,18121E+16
﻿99400621820;Espai Abaixadors10;07.03.19 14:07;28.05.21 14:38;C Abaixadors;10;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31538E+16;4,58161E+15;4,13831E+15;2,18121E+16
﻿75990173036;Bar musical Merbeyé;18.09.96 00:00;28.05.21 14:37;Pl Doctor Andreu;1;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8035;BARCELONA;4,27412E+16;4,58534E+15;4,14163E+15;2,13142E+16
