register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086012000;Àrea de Joc Infantil al Parc de Montjuïc - Plaça del Mig de Can Clos;02.04.85 00:00;04.05.21 12:32;700742;Pl Mig de Can Clos;1;;13;la Marina de Port;3;Sants-Montjuïc;8038;BARCELONA;4,28637E+16;4,57915E+15;4,13607E+16;2,1468E+15
﻿92086012001;Àrea de Joc Infantil a la Plaça del Centre;02.04.85 00:00;04.05.21 12:32;76308;Pl Centre;1;;19;les Corts;4;Les Corts;8014;BARCELONA;4,2771E+15;4,58154E+15;4,13821E+15;2,13543E+15
﻿92086012304;Àrea de Joc Infantil a la Plaça Sot dels Paletes;15.04.85 00:00;04.05.21 12:33;700104;Pl Sot dels Paletes;9999;;60;Sant Andreu;9;Sant Andreu;8030;BARCELONA;4,32453E+15;4,58763E+15;4,14374E+15;2,19148E+16
﻿92086012306;Àrea de Joc Infantil a la Plaça del Carib (Cantera- Briquets- Llobera);15.04.85 00:00;04.05.21 12:33;186408;C Llobera;134;;50;les Roquetes;8;Nou Barris;8042;BARCELONA;4,31263E+15;4,58903E+15;4,14499E+15;2,17707E+15
﻿92086012309;Àrea de Joc Infantil a la Plaça Taxonera;15.04.85 00:00;04.05.21 12:33;332408;Pl Taxonera;;;38;la Teixonera;7;Horta-Guinardó;8035;BARCELONA;4,28734E+15;4,58603E+15;4,14226E+16;2,14715E+16
﻿92086012318;Àrea de Joc Infantil a la Plaça Verda de la Prosperitat;16.04.85 00:00;04.05.21 12:34;700993;Pl Verda de la Prosperitat;1;;52;la Prosperitat;8;Nou Barris;8016;BARCELONA;4,3175E+15;4,5881E+15;4,14415E+15;2,18301E+16
﻿92086012008;Àrea de Joc Infantil a la Placeta Joan Brossa;06.04.85 00:00;04.05.21 12:33;289105;C Rosselló;191;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8036;BARCELONA;4,29397E+16;4,58263E+15;4,13921E+15;2,15548E+16
﻿92086012018;Àrea de Joc Infantil a la Plaça Pablo Neruda;04.06.85 00:00;04.05.21 12:35;156203;Pl Pablo Neruda;1;;6;la Sagrada Família;2;Eixample;8013;BARCELONA;4,31274E+16;4,58366E+15;4,14016E+16;2,17781E+16
﻿92086012032;Àrea de Joc Infantil a la Plaça Eduard Torroja;04.04.85 00:00;04.05.21 12:33;107503;Pl Eduard Torroja;1;;72;Sant Martí de Provençals;10;Sant Martí;8020;BARCELONA;4,33108E+15;4,58513E+15;4,14149E+16;2,19959E+16
﻿92086012035;Àrea de Joc Infantil a Josep Pla - Pallars - Agricultura;04.04.85 00:00;04.05.21 12:33;242906;C Pallars;453;;71;Provençals del Poblenou;10;Sant Martí;8019;BARCELONA;4,34073E+16;4,58474E+15;4,14115E+15;2,21117E+15
﻿75990094613;Teatre Borràs;18.09.96 00:00;17.09.22 02:57;232902;Pl Urquinaona;9;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8010;BARCELONA;4,3091E+16;4,58226E+15;4,13889E+15;2,17362E+16
﻿92086015478;Teatre;24.04.86 00:00;17.09.22 04:25;217104;C Muntanya;62;;64;el Camp de l'Arpa del Clot;10;Sant Martí;8026;BARCELONA;4,31876E+16;4,58482E+15;4,14121E+16;2,18488E+15
﻿75990121097;Bar musical Woody;18.09.96 00:00;28.05.21 14:37;326904;Pl Sol;7;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29534E+15;4,5837E+16;4,14018E+14;2,15699E+15
﻿75990121097;Bar musical Woody;18.09.96 00:00;28.05.21 14:37;326904;Pl Sol;7;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29534E+15;4,5837E+16;4,14018E+14;2,15699E+15
﻿75990121097;Bar musical Woody;18.09.96 00:00;28.05.21 14:37;326904;Pl Sol;7;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29534E+15;4,5837E+16;4,14018E+14;2,15699E+15
﻿99400070357;Diobar;31.12.03 10:39;17.09.22 06:07;198203;Av Marquès de l'Argentera;27;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31896E+15;4,58187E+15;4,13855E+16;2,18546E+16
﻿92086010030;Biblioteca;16.05.86 00:00;17.09.22 04:11;144601;Av Diagonal;647;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26025E+16;4,58186E+15;4,13849E+15;2,11525E+16
﻿92086003206;Teatre;26.06.85 00:00;17.09.22 03:53;27302;C Astúries;83;;31;la Vila de Gràcia;6;Gràcia;8024;BARCELONA;4,29489E+15;4,58403E+15;4,14047E+15;2,15642E+16
﻿92086000452;Sala de Cinema;28.04.86 00:00;17.09.22 03:44;140203;Av Drassanes;14;;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30879E+15;4,58092E+15;4,13769E+16;2,17341E+14
﻿92086011107;Espai de Gent Gran  El Polvorí;21.01.85 00:00;08.06.22 12:56;151108;Carrer del Guadalquivir;2;;13;la Marina de Port;3;Sants-Montjuïc;8038;Barcelona;4,28169E+16;4,57948E+15;4,13636E+16;2,14117E+16
﻿92086011107;Espai de Gent Gran  El Polvorí;21.01.85 00:00;08.06.22 12:56;151108;Carrer del Guadalquivir;2;;13;la Marina de Port;3;Sants-Montjuïc;8038;Barcelona;4,28169E+16;4,57948E+15;4,13636E+16;2,14117E+16
﻿92086011109;EspaiCaixa Sants;21.02.85 00:00;17.09.22 04:16;172403;C Joan Güell;23;;18;Sants;3;Sants-Montjuïc;8028;BARCELONA;4,27597E+16;4,5809E+15;4,13764E+14;2,13416E+15
﻿92086012401;Àrea de Joc Infantil a la Plaça Comas;22.04.85 00:00;04.05.21 12:34;84907;Pl Comas;1;;19;les Corts;4;Les Corts;8028;BARCELONA;4,27232E+15;4,58191E+15;4,13854E+15;2,12967E+15
﻿92086012404;Àrea de Joc Infantil a Mare de Déu de Núria - Salvador Mundi - Via Augusta - Passeig de la Bonanova;22.04.85 00:00;04.05.21 12:34;28000;Via Augusta;335;;23;Sarrià;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,26703E+16;4,58355E+15;4,14001E+14;2,12315E+16
