year;indicator;equipment;district_code;district_name;neighborhood_code;neighborhood_name;general_type;equipment_type;scope;latitude;longitude
2021;Visites_Exposicions_Temporals;Museu Frederic Marès;1;Ciutat Vella;2;el Barri Gòtic;Centres patrimonials;Museus i col·leccions;Arts visuals;41384173998;2176939205
2021;Fons_Colleccio;Museu Marítim de Barcelona. MMB;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Història i memòria;41375949813;2176041471
2021;Num_Exposicions_Temporals;Museu Marítim de Barcelona. MMB;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Història i memòria;41375949813;2176041471
2021;Visitants;Museu Marítim de Barcelona. MMB;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Història i memòria;41375949813;2176041471
2021;Visites_Exposicions_Temporals;Museu Marítim de Barcelona. MMB;1;Ciutat Vella;1;el Raval;Centres patrimonials;Museus i col·leccions;Història i memòria;41375949813;2176041471
2021;Num_Exposicions_Temporals;Museu Nacional d'Art de Catalunya. MNAC;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41368853566;2153363173
2021;Visitants;Museu Nacional d'Art de Catalunya. MNAC;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41368853566;2153363173
2021;Visites_Exposicions_Temporals;Museu Nacional d'Art de Catalunya. MNAC;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Arts visuals;41368853566;2153363173
2021;Num_Exposicions_Temporals;Museu Olímpic i de l'Esport Joan Antoni Samaranch;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41366249336;2157076095
2021;Visitants;Museu Olímpic i de l'Esport Joan Antoni Samaranch;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41366249336;2157076095
2021;Visites_Exposicions_Temporals;Museu Olímpic i de l'Esport Joan Antoni Samaranch;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Museus i col·leccions;Història i memòria;41366249336;2157076095
2021;Fons_Colleccio;Museu Picasso;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;41385152312;2180834795
2021;Num_Exposicions_Temporals;Museu Picasso;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;41385152312;2180834795
2021;Visitants;Museu Picasso;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;41385152312;2180834795
2021;Visites_Exposicions_Temporals;Museu Picasso;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Arts visuals;41385152312;2180834795
2021;Num_Exposicions_Temporals;Palau Güell;1;Ciutat Vella;1;el Raval;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;413791747;21744127
2021;Visitants;Palau Güell;1;Ciutat Vella;1;el Raval;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;413791747;21744127
2021;Visites_Exposicions_Temporals;Palau Güell;1;Ciutat Vella;1;el Raval;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;413791747;21744127
2021;Num_Exposicions_Temporals;Palau Robert;2;Eixample;7;la Dreta de l'Eixample;Centres d'exposicions;Centres d'exposicions;Arts visuals;41396100952;2159514266
2021;Visitants;Palau Robert;2;Eixample;7;la Dreta de l'Eixample;Centres d'exposicions;Centres d'exposicions;Arts visuals;41396100952;2159514266
2021;Visites_Exposicions_Temporals;Palau Robert;2;Eixample;7;la Dreta de l'Eixample;Centres d'exposicions;Centres d'exposicions;Arts visuals;41396100952;2159514266
2021;Visitants;Park Güell;6;Gràcia;30;la Salut;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;414134251;21531849
2021;Fons_Colleccio;Pavelló Mies van der Rohe;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;41370666;2149491
2021;Num_Exposicions_Temporals;Pavelló Mies van der Rohe;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;41370666;2149491
2021;Visitants;Pavelló Mies van der Rohe;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;41370666;2149491
2021;Visites_Exposicions_Temporals;Pavelló Mies van der Rohe;3;Sants-Montjuïc;11;el Poble Sec;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;41370666;2149491
2021;Visitants;Recinte Modernista de Sant Pau;7;Horta-Guinardó;35;el Guinardó;Centres patrimonials;Espais d'interès patrimonial;Història i memòria;414118413;21744033
2021;Visitants;Reial Monestir de Santa Maria de Pedralbes;4;Les Corts;21;Pedralbes;Centres patrimonials;Museus i col·leccions;Història i memòria;41395574166;2112056853
2021;Num_Exposicions_Temporals;Santa Mònica;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41377227254;2175597264
2021;Visitants;Santa Mònica;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41377227254;2175597264
2021;Visites_Exposicions_Temporals;Santa Mònica;1;Ciutat Vella;1;el Raval;Centres d'exposicions;Centres d'exposicions;Arts visuals;41377227254;2175597264
2021;Visitants;Zoo de Barcelona;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Centres patrimonials;Museus i col·leccions;Ciència;41386823;2190346
