Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,Visitants,"Museu de la Xocolata",37702,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.387387733,2.181708405
2021,Fons_Colleccio,"Museu del Disseny de Barcelona",79872,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2021,Num_Exposicions_Temporals,"Museu del Disseny de Barcelona",5,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2021,Visitants,"Museu del Disseny de Barcelona",79039,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2021,Visites_Exposicions_Temporals,"Museu del Disseny de Barcelona",88569,,"El Museu del Disseny de Barcelona es va inaugurar el 13/12/2014.",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.4025295461622,2.1880652060461467
2021,Visitants,"Museu del Futbol Club Barcelona",378691,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.379059282,2.120267204
2021,Visitants,"Museu dels Autòmats del Tibidabo",54165,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.42174827,2.11979347
2021,Fons_Colleccio,"Museu Egipci de Barcelona",1229,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2021,Num_Exposicions_Temporals,"Museu Egipci de Barcelona",2,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2021,Visitants,"Museu Egipci de Barcelona",107226,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2021,Visites_Exposicions_Temporals,"Museu Egipci de Barcelona",46462,,,02,Eixample,07,"la Dreta de l'Eixample",Privada,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.393626242,2.164736478
2021,Fons_Colleccio,"Museu Etnològic i de Cultures del Món",74000,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.369062110,2.155983304
2021,Num_Exposicions_Temporals,"Museu Etnològic i de Cultures del Món",3,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.369062110,2.155983304
2021,Visitants,"Museu Etnològic i de Cultures del Món",39350,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.369062110,2.155983304
2021,Visites_Exposicions_Temporals,"Museu Etnològic i de Cultures del Món",12583,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.369062110,2.155983304
2021,Visitants,"Museu Europeu d'Art Modern. MEAM",35622,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Privada,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384912046,2.180305787
2021,Fons_Colleccio,"Museu Frederic Marès",55000,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2021,Num_Exposicions_Temporals,"Museu Frederic Marès",2,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2021,Visitants,"Museu Frederic Marès",31958,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2021,Visites_Exposicions_Temporals,"Museu Frederic Marès",17809,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Centres patrimonials","Museus i col·leccions","Arts visuals",41.384173998,2.176939205
2021,Fons_Colleccio,"Museu Marítim de Barcelona. MMB",386256,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2021,Num_Exposicions_Temporals,"Museu Marítim de Barcelona. MMB",5,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2021,Visitants,"Museu Marítim de Barcelona. MMB",117002,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2021,Visites_Exposicions_Temporals,"Museu Marítim de Barcelona. MMB",21867,,,01,"Ciutat Vella",01,"el Raval","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Història i memòria",41.375949813,2.176041471
2021,Num_Exposicions_Temporals,"Museu Nacional d'Art de Catalunya. MNAC",6,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2021,Visitants,"Museu Nacional d'Art de Catalunya. MNAC",296179,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2021,Visites_Exposicions_Temporals,"Museu Nacional d'Art de Catalunya. MNAC",436912,,,03,Sants-Montjuïc,11,"el Poble Sec","Consorci o fundació amb presència municipal","Centres patrimonials","Museus i col·leccions","Arts visuals",41.368853566,2.153363173
2021,Num_Exposicions_Temporals,"Museu Olímpic i de l'Esport Joan Antoni Samaranch",3,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Centres patrimonials","Museus i col·leccions","Història i memòria",41.366249336,2.157076095
