register_id;name;created;modified;addresses_road_name;addresses_start_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿92086002014;CRAI - Biblioteca de Recerca Fabià Estapé;16.05.86 00:00;11.07.22 12:59;Av Diagonal;690;21;Pedralbes;4;Les Corts;8034;BARCELONA;4,26003E+15;4,58195E+15;4,13857E+16;2,11497E+15
﻿92086002053;Arxiu i Biblioteca;18.04.85 00:00;17.09.22 03:50;Av Diagonal;649;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,25868E+16;4,58181E+15;4,13844E+16;2,11337E+15
﻿96116101124;Arxiu Municipal del Districte de l'Eixample;25.04.96 00:00;03.11.22 09:15;Carrer de Calàbria;38;10;Sant Antoni;2;Eixample;8015;Barcelona;4,29697E+16;4,58091E+15;4,13767E+15;2,15927E+16
﻿94354131819;Biblioteca;20.12.94 00:00;11.06.21 11:14;Pl Àngels;1;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30421E+15;4,58163E+14;4,13832E+16;2,16785E+16
﻿95325164950;Biblioteca Universitària de Medicina i Infermeria de la Vall d'Hebrón;21.11.95 00:00;17.09.22 05:17;Pg Vall d'Hebron;119;40;Montbau;7;Horta-Guinardó;8035;BARCELONA;4,28431E+16;4,58663E+14;4,1428E+15;2,14345E+16
﻿99400319083;Biblioteca - Mediateca;29.05.13 00:00;17.09.22 07:54;C Valldonzella;12;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30263E+16;4,58175E+15;4,13843E+15;2,16594E+15
﻿99400014293;Museu Escoltisme;31.07.02 10:24;17.09.22 05:58;C Plana;10;43;Horta;7;Horta-Guinardó;8032;BARCELONA;4,29678E+15;4,5869E+15;4,14306E+14;2,15835E+15
﻿99400037765;Biblioteca Fort Pienc;11.04.03 13:14;07.12.22 12:35;Plaça de Fort Pienc;4;5;el Fort Pienc;2;Eixample;8013;Barcelona;4,31656E+15;4,58299E+15;4,13956E+15;2,18247E+15
﻿99400037765;Biblioteca Fort Pienc;11.04.03 13:14;07.12.22 12:35;Plaça de Fort Pienc;4;5;el Fort Pienc;2;Eixample;8013;Barcelona;4,31656E+15;4,58299E+15;4,13956E+15;2,18247E+15
﻿99400037765;Biblioteca Fort Pienc;11.04.03 13:14;07.12.22 12:35;Plaça de Fort Pienc;4;5;el Fort Pienc;2;Eixample;8013;Barcelona;4,31656E+15;4,58299E+15;4,13956E+15;2,18247E+15
﻿97042092100;CosmoCaixa Barcelona;11.02.97 00:00;12.09.22 14:33;Carrer d'Isaac Newton;26;25;Sant Gervasi - la Bonanova;5;Sarrià-Sant Gervasi;8022;Barcelona;4,27347E+16;4,585E+15;4,14133E+15;2,13068E+16
﻿96351205257;Biblioteca;16.12.96 00:00;17.09.22 05:27;Pg Gràcia;59;7;la Dreta de l'Eixample;2;Eixample;8007;BARCELONA;4,30089E+14;4,58269E+15;4,13927E+15;2,16375E+16
﻿96352163754;Biblioteca;17.12.96 00:00;17.09.22 05:27;Av Can Marcet;36;41;la Vall d'Hebron;7;Horta-Guinardó;8035;BARCELONA;4,28831E+16;4,58738E+15;4,14349E+15;2,14816E+16
﻿95181082738;Biblioteca Judicial de Barcelona - Biblioteca Social;30.06.95 00:00;17.09.22 05:16;C Girona;2;7;la Dreta de l'Eixample;2;Eixample;8010;BARCELONA;4,31165E+16;4,58247E+14;4,13908E+15;2,17664E+15
﻿95181082925;Biblioteca Judicial de Barcelona - TSJC Palau de Justícia;30.06.95 00:00;17.09.22 05:16;Pg Lluís Companys;1;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,31641E+16;4,58227E+15;4,13891E+15;2,18236E+15
﻿94320113711;Museu Nacional d'Art de Catalunya;16.11.94 00:00;07.11.22 09:08;C Mirador Palau Nacional;6;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29196E+15;4,58005E+15;4,13689E+13;2,15338E+16
﻿94320113711;Museu Nacional d'Art de Catalunya;16.11.94 00:00;07.11.22 09:08;C Mirador Palau Nacional;6;11;el Poble-sec;3;Sants-Montjuïc;8004;BARCELONA;4,29196E+15;4,58005E+15;4,13689E+13;2,15338E+16
﻿96352193917;Biblioteca;17.12.96 00:00;17.09.22 05:27;C Requesens;5;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,30093E+15;4,58125E+15;4,13797E+16;2,16397E+15
﻿96351211101;Biblioteca;16.12.96 00:00;17.09.22 05:27;C Enric Granados;99;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8008;BARCELONA;4,2942E+15;4,5827E+15;4,13927E+15;2,15574E+15
﻿96313134013;Biblioteca;08.11.96 00:00;17.09.22 05:26;Av Drassanes;3;1;el Raval;1;Ciutat Vella;8001;BARCELONA;4,31003E+15;4,58084E+15;4,13761E+15;2,17489E+16
﻿97045174408;Biblioteca;14.02.97 00:00;17.09.22 05:28;Aragó;204;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;BARCELONA;4,29677E+15;4,58211E+15;4,13875E+15;2,1589E+16
