register_id;name;created;modified;addresses_road_id;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighbourhood_code;neighbourhood_name;district_code;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿99400604895;Jardins Maria Capdevila;30.07.18 13:33;23.11.22 12:39;150604;C Grífols;41;;43;Horta;7;Horta-Guinardó;8032;BARCELONA;4,29777E+15;4,58655E+15;4,14275E+15;2,15957E+15
﻿335195642;Jardins Interior d'Illa d'Emma de Barcelona;30.11.00 00:00;23.11.22 12:39;87009;Carrer del Comte Borrell;157;;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;Barcelona;4,2939E+14;4,58158E+14;4,13826E+15;2,15552E+16
﻿335195642;Jardins Interior d'Illa d'Emma de Barcelona;30.11.00 00:00;23.11.22 12:39;87009;Carrer del Comte Borrell;157;;9;la Nova Esquerra de l'Eixample;2;Eixample;8015;Barcelona;4,2939E+14;4,58158E+14;4,13826E+15;2,15552E+16
﻿99400596451;Jardins de Can Ferrer;02.07.18 14:00;23.11.22 12:39;8501;C Alfons XII;42;;26;Sant Gervasi - Galvany;5;Sarrià-Sant Gervasi;8006;BARCELONA;4,2885E+16;4,58344E+15;4,13993E+15;2,14884E+16
﻿99400181025;Jardins de Mossèn Costa i Llobera;17.04.07 12:52;23.11.22 12:39;213409;Ctra Miramar;38;;11;el Poble-sec;3;Sants-Montjuïc;8038;BARCELONA;4,30781E+16;4,58012E+15;4,13696E+15;2,17232E+14
﻿99400179873;Jardins Interiors d'Illa  Via Favència;26.03.07 15:07;23.11.22 12:39;120807;Via Favència;398;;52;la Prosperitat;8;Nou Barris;8016;BARCELONA;4,31743E+15;4,58862E+14;4,14463E+15;2,18286E+16
﻿95081125600;Jardins de Can Sentmenat;22.03.95 00:00;23.11.22 12:39;58601;C Can Caralleu;6;;23;Sarrià;5;Sarrià-Sant Gervasi;8017;BARCELONA;4,26033E+15;4,58383E+15;4,14026E+15;2,1151E+16
﻿99400182240;Jardins Interior d'Illa d'Ermessenda de Carcassona;30.04.07 13:11;23.11.22 12:39;349706;Carrer del Comte d'Urgell;145;145;9;la Nova Esquerra de l'Eixample;2;Eixample;8036;Barcelona;4,29104E+16;4,58206E+14;4,13869E+16;2,15204E+16
﻿99400182240;Jardins Interior d'Illa d'Ermessenda de Carcassona;30.04.07 13:11;23.11.22 12:39;349706;Carrer del Comte d'Urgell;145;145;9;la Nova Esquerra de l'Eixample;2;Eixample;8036;Barcelona;4,29104E+16;4,58206E+14;4,13869E+16;2,15204E+16
﻿99400078413;Jardí de Joana Tomàs;30.03.04 14:15;23.11.22 12:39;350308;C València;643;;65;el Clot;10;Sant Martí;8026;BARCELONA;4,32196E+16;4,58484E+15;4,14122E+16;2,18872E+16
﻿99400078447;Jardins de Jaime Gil de Biedma;30.03.04 16:42;23.11.22 12:39;115603;Carrer d'Espronceda;15;15;69;Diagonal Mar i el Front Marítim del Poblenou;10;Sant Martí;8005;Barcelona;4,33887E+15;4,58362E+15;4,14014E+16;2,20908E+15
﻿99400078455;Jardins de Manuel Sacristán;30.03.04 17:12;23.11.22 12:39;267907;Carrer de Provençals;5;5;69;Diagonal Mar i el Front Marítim del Poblenou;10;Sant Martí;8019;Barcelona;4,34247E+16;4,58386E+16;4,14036E+15;2,21336E+15
﻿99400176876;Jardins de Margarida Comas;02.02.07 11:08;23.11.22 12:39;186703;C Llull;32;;67;la Vila Olímpica del Poblenou;10;Sant Martí;8005;BARCELONA;4,32405E+15;4,58263E+15;4,13924E+15;2,19146E+15
﻿99400660532;Parc de Trinitat Nova;02.12.20 10:20;23.11.22 12:39;330005;C Tamariu;3;;53;la Trinitat Nova;8;Nou Barris;8033;BARCELONA;4,31941E+16;4,58899E+15;4,14496E+15;2,18519E+16
