register_id;name;created;modified;addresses_road_name;addresses_start_street_number;addresses_end_street_number;neighborhood_id;neighborhood_name;district_id;district_name;zip_code;addresses_town;geo_epgs_25831_x;geo_epgs_25831_y;geo_epgs_4326_x;geo_epgs_4326_y
﻿75990176320;Teatreneu Multisales;18.09.96 00:00;17.09.22 03:12;C Terol;26;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29668E+16;4,58387E+15;4,14033E+16;2,15858E+16
﻿99400164748;Teatre;12.07.06 10:28;17.09.22 06:37;C Verdaguer i Callís;12;;4;Sant Pere, Santa Caterina i la Ribera;1;Ciutat Vella;8003;BARCELONA;4,311E+16;4,58207E+15;4,13872E+15;2,17591E+16
﻿75990017485;Aribau Multicines;17.09.96 00:00;19.07.21 14:06;Carrer d'Aribau;5;;8;l'Antiga Esquerra de l'Eixample;2;Eixample;8011;Barcelona;4,29968E+14;4,58195E+15;4,1386E+15;2,16239E+15
﻿99400265667;Sala FlyHard;04.03.11 11:44;17.09.22 07:32;C Alpens;3;;16;la Bordeta;3;Sants-Montjuïc;8014;BARCELONA;4,28132E+16;4,5804E+16;4,13719E+15;2,14062E+16
﻿92086004036;Sala de Cinema;08.05.86 00:00;17.09.22 03:55;Ptge Méndez Vigo;5;;7;la Dreta de l'Eixample;2;Eixample;8009;BARCELONA;4,304E+16;4,58276E+15;4,13934E+15;2,16747E+14
﻿93280123622;Auditòrium;07.10.93 00:00;17.09.22 05:05;Pl Sant Jaume;4;;2;el Barri Gòtic;1;Ciutat Vella;8002;BARCELONA;4,31171E+15;4,58158E+15;4,13828E+15;2,17682E+14
﻿92086011052;Teatre;23.04.86 00:00;17.09.22 04:15;C Mallorca;580;;64;el Camp de l'Arpa del Clot;10;Sant Martí;8026;BARCELONA;4,31838E+15;4,58461E+15;4,14101E+15;2,18445E+15
﻿99400249050;Sala Paral·lel 62;15.06.10 13:28;24.10.22 12:27;Avinguda del Paral·lel;62;;1;el Raval;1;Ciutat Vella;8001;Barcelona;4,30559E+15;4,58074E+15;4,13752E+15;2,1696E+15
﻿99400249050;Sala Paral·lel 62;15.06.10 13:28;24.10.22 12:27;Avinguda del Paral·lel;62;;1;el Raval;1;Ciutat Vella;8001;Barcelona;4,30559E+15;4,58074E+15;4,13752E+15;2,1696E+15
﻿92086015534;Auditòrium;05.05.86 00:00;17.09.22 04:25;Av Diagonal;647;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26025E+16;4,58186E+15;4,13849E+15;2,11525E+16
﻿92086010780;Teatre;23.04.86 00:00;17.09.22 04:14;C Pere Pau;8;;43;Horta;7;Horta-Guinardó;8032;BARCELONA;4,29836E+15;4,58685E+15;4,14302E+15;2,16024E+16
﻿99400179259;Sala El Molino;12.03.07 14:00;09.11.22 12:38;Carrer de Vila i Vilà;99;;11;el Poble-sec;3;Sants-Montjuïc;8004;Barcelona;4,30364E+16;4,58068E+15;4,13746E+15;2,16727E+15
﻿97035175013;Auditori Jordi Rubió i Balaguer - Àgora;04.02.97 00:00;17.09.22 05:28;Ramon Trias Fargas;23;;67;la Vila Olímpica del Poblenou;10;Sant Martí;8005;BARCELONA;4,32362E+16;4,58228E+15;4,13892E+15;2,19098E+16
﻿97038152958;Teatre;07.02.97 00:00;17.09.22 05:28;Sepúlveda;71;;10;Sant Antoni;2;Eixample;8015;BARCELONA;4,29429E+15;4,58112E+15;4,13785E+15;2,15605E+16
﻿99400165038;Teatre - Auditori;17.07.06 08:19;17.09.22 06:37;Trvs Sant Antoni;6;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29344E+16;4,58379E+15;4,14025E+15;2,15471E+16
﻿99400187001;Cinema Dididado;09.07.07 00:00;07.10.21 14:42;Pl Tibidabo;3;;22;Vallvidrera, el Tibidabo i les Planes;5;Sarrià-Sant Gervasi;8035;BARCELONA;4,26447E+15;4,58596E+15;4,14218E+15;2,1198E+16
﻿99400203275;Espai Escènic Ruqueria Querubí;01.04.08 14:03;17.09.22 06:58;C Perla;11;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29548E+14;4,58389E+15;4,14035E+16;2,15714E+16
﻿92086000771;Sala de Cinema;28.04.86 00:00;17.09.22 03:46;C Canuda;6;;2;el Barri Gòtic;1;Ciutat Vella;8002;BARCELONA;4,30742E+16;4,58179E+15;4,13847E+15;2,17166E+15
﻿92086015468;Teatre;24.04.86 00:00;03.03.21 22:15;C Pujades;176;;68;el Poblenou;10;Sant Martí;8005;BARCELONA;4,3314E+15;4,5836E+15;4,14011E+16;2,20015E+15
﻿92086015533;Escola Tècnica Superior d'Enginyeria Industrial de Barcelona;05.05.86 00:00;17.09.22 04:25;Av Diagonal;647;;20;la Maternitat i Sant Ramon;4;Les Corts;8028;BARCELONA;4,26025E+15;4,58186E+15;4,13849E+13;2,11525E+16
﻿92086003081;Teatre;23.04.86 00:00;03.03.21 22:15;C Ros de Olano;9;;31;la Vila de Gràcia;6;Gràcia;8012;BARCELONA;4,29349E+16;4,58363E+15;4,14011E+15;2,15479E+16
