year;district_code;district_name;neighbourhood_code;neighbourhood_name;Sex;nationality;number
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Men;Algèria;0
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Men;Algèria;19
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Men;Algèria;7
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Men;Algèria;10
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Men;Algèria;5
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Men;Algèria;10
2022;6;Gràcia;28;Vallcarca i els Penitents;Men;Algèria;2
2022;6;Gràcia;29;el Coll;Men;Algèria;4
2022;6;Gràcia;30;la Salut;Men;Algèria;5
2022;6;Gràcia;31;la Vila de Gràcia;Men;Algèria;14
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Men;Algèria;15
2022;7;Horta-Guinardó;33;el Baix Guinardó;Men;Algèria;14
2022;7;Horta-Guinardó;34;Can Baró;Men;Algèria;6
2022;7;Horta-Guinardó;35;el Guinardó;Men;Algèria;12
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Men;Algèria;3
2022;7;Horta-Guinardó;37;el Carmel;Men;Algèria;27
2022;7;Horta-Guinardó;38;la Teixonera;Men;Algèria;1
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Men;Algèria;3
2022;7;Horta-Guinardó;40;Montbau;Men;Algèria;4
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Men;Algèria;1
2022;7;Horta-Guinardó;42;la Clota;Men;Algèria;2
2022;7;Horta-Guinardó;43;Horta;Men;Algèria;26
2022;8;Nou Barris;44;Vilapicina i la Torre Llobeta;Men;Algèria;8
2022;8;Nou Barris;45;Porta;Men;Algèria;31
2022;8;Nou Barris;46;el Turó de la Peira;Men;Algèria;26
2022;8;Nou Barris;47;Can Peguera;Men;Algèria;1
2022;8;Nou Barris;48;la Guineueta;Men;Algèria;7
2022;8;Nou Barris;49;Canyelles;Men;Algèria;2
2022;8;Nou Barris;50;les Roquetes;Men;Algèria;14
2022;8;Nou Barris;51;Verdun;Men;Algèria;12
2022;8;Nou Barris;52;la Prosperitat;Men;Algèria;6
2022;8;Nou Barris;53;la Trinitat Nova;Men;Algèria;3
2022;8;Nou Barris;54;Torre Baró;Men;Algèria;2
2022;8;Nou Barris;55;Ciutat Meridiana;Men;Algèria;13
2022;8;Nou Barris;56;Vallbona;Men;Algèria;2
2022;9;Sant Andreu;57;la Trinitat Vella;Men;Algèria;36
2022;9;Sant Andreu;58;Baró de Viver;Men;Algèria;6
2022;9;Sant Andreu;59;el Bon Pastor;Men;Algèria;17
2022;9;Sant Andreu;60;Sant Andreu;Men;Algèria;32
2022;9;Sant Andreu;61;la Sagrera;Men;Algèria;5
2022;9;Sant Andreu;62;el Congrés i els Indians;Men;Algèria;5
2022;9;Sant Andreu;63;Navas;Men;Algèria;12
2022;10;Sant Martí;64;el Camp de l'Arpa del Clot;Men;Algèria;31
2022;10;Sant Martí;65;el Clot;Men;Algèria;10
2022;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;Men;Algèria;7
2022;10;Sant Martí;67;la Vila Olímpica del Poblenou;Men;Algèria;1
2022;10;Sant Martí;68;el Poblenou;Men;Algèria;9
2022;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;Men;Algèria;11
2022;10;Sant Martí;70;el Besòs i el Maresme;Men;Algèria;53
2022;10;Sant Martí;71;Provençals del Poblenou;Men;Algèria;30
2022;10;Sant Martí;72;Sant Martí de Provençals;Men;Algèria;9
2022;10;Sant Martí;73;la Verneda i la Pau;Men;Algèria;12
2022;1;Ciutat Vella;1;el Raval;Women;Apàtrides/No consta;13
2022;1;Ciutat Vella;2;el Barri Gòtic;Women;Apàtrides/No consta;5
2022;1;Ciutat Vella;3;la Barceloneta;Women;Apàtrides/No consta;1
2022;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;Women;Apàtrides/No consta;2
2022;2;Eixample;5;el Fort Pienc;Women;Apàtrides/No consta;1
2022;2;Eixample;6;la Sagrada Família;Women;Apàtrides/No consta;12
2022;2;Eixample;7;la Dreta de l'Eixample;Women;Apàtrides/No consta;5
2022;2;Eixample;8;l'Antiga Esquerra de l'Eixample;Women;Apàtrides/No consta;5
2022;2;Eixample;9;la Nova Esquerra de l'Eixample;Women;Apàtrides/No consta;7
2022;2;Eixample;10;Sant Antoni;Women;Apàtrides/No consta;8
2022;3;Sants-Montjuïc;11;el Poble Sec;Women;Apàtrides/No consta;2
2022;3;Sants-Montjuïc;12;la Marina del Prat Vermell;Women;Apàtrides/No consta;0
2022;3;Sants-Montjuïc;13;la Marina de Port;Women;Apàtrides/No consta;1
2022;3;Sants-Montjuïc;14;la Font de la Guatlla;Women;Apàtrides/No consta;1
2022;3;Sants-Montjuïc;15;Hostafrancs;Women;Apàtrides/No consta;0
2022;3;Sants-Montjuïc;16;la Bordeta;Women;Apàtrides/No consta;1
2022;3;Sants-Montjuïc;17;Sants - Badal;Women;Apàtrides/No consta;2
2022;3;Sants-Montjuïc;18;Sants;Women;Apàtrides/No consta;2
2022;4;Les Corts;19;les Corts;Women;Apàtrides/No consta;4
2022;4;Les Corts;20;la Maternitat i Sant Ramon;Women;Apàtrides/No consta;0
2022;4;Les Corts;21;Pedralbes;Women;Apàtrides/No consta;0
2022;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;Women;Apàtrides/No consta;0
2022;5;Sarrià-Sant Gervasi;23;Sarrià;Women;Apàtrides/No consta;3
2022;5;Sarrià-Sant Gervasi;24;les Tres Torres;Women;Apàtrides/No consta;1
2022;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;Women;Apàtrides/No consta;0
2022;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;Women;Apàtrides/No consta;3
2022;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;Women;Apàtrides/No consta;1
2022;6;Gràcia;28;Vallcarca i els Penitents;Women;Apàtrides/No consta;1
2022;6;Gràcia;29;el Coll;Women;Apàtrides/No consta;0
2022;6;Gràcia;30;la Salut;Women;Apàtrides/No consta;0
2022;6;Gràcia;31;la Vila de Gràcia;Women;Apàtrides/No consta;6
2022;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;Women;Apàtrides/No consta;6
2022;7;Horta-Guinardó;33;el Baix Guinardó;Women;Apàtrides/No consta;1
2022;7;Horta-Guinardó;34;Can Baró;Women;Apàtrides/No consta;0
2022;7;Horta-Guinardó;35;el Guinardó;Women;Apàtrides/No consta;4
2022;7;Horta-Guinardó;36;la Font d'en Fargues;Women;Apàtrides/No consta;0
2022;7;Horta-Guinardó;37;el Carmel;Women;Apàtrides/No consta;1
2022;7;Horta-Guinardó;38;la Teixonera;Women;Apàtrides/No consta;1
2022;7;Horta-Guinardó;39;Sant Genís dels Agudells;Women;Apàtrides/No consta;1
2022;7;Horta-Guinardó;40;Montbau;Women;Apàtrides/No consta;0
2022;7;Horta-Guinardó;41;la Vall d'Hebron;Women;Apàtrides/No consta;0
